name,group,physician_number,low,medium,high
Clinician 1,senior,1,2,2,5
Clinician 2,intern,2,3,4,5
Clinician 3,intern,3,0,4,0
Clinician 4,intern,4,4,4,4
Clinician 5,intern,5,4,3,3
Clinician 6,intern,6,3,4,5
Clinician 7,junior,7,0,4,5
Clinician 8,senior,8,4,4,5
Clinician 9,junior,9,2,4,5
Clinician 10,senior,10,4,4,3
Clinician 11,middle,11,3,3,2
Clinician 12,middle,12,3,4,5
Clinician 13,middle,13,0,4,5
Clinician 14,middle,14,2,4,3
Clinician 15,intern,15,2,3,5
Clinician 16,intern,16,2,4,2
Clinician 17,middle,17,3,4,0
Clinician 18,intern,18,0,4,3
Clinician 19,middle,19,4,4,2
Clinician 20,senior,20,0,0,0
Clinician 21,senior,21,2,4,5
Clinician 22,middle,22,0,2,2
Clinician 23,middle,23,3,3,2
Clinician 24,middle,24,2,4,5
Clinician 25,middle,25,0,4,4
Clinician 26,middle,26,0,0,5
Clinician 27,senior,27,3,4,2
Clinician 28,junior,28,5,2,1
Clinician 29,senior,29,2,2,3
Clinician 30,middle,30,3,4,3
Clinician 31,intern,31,3,4,5
Clinician 32,junior,32,3,2,2
Clinician 33,intern,33,4,4,5
Clinician 34,middle,34,2,4,3
Clinician 35,junior,35,4,4,5
Clinician 36,junior,36,5,4,1
Clinician 37,intern,37,3,4,4
Clinician 38,intern,38,2,3,2
Clinician 39,senior,39,2,4,3
Clinician 40,senior,40,2,0,5
Clinician 41,senior,41,3,4,5
Clinician 42,junior,42,2,2,5
Clinician 43,middle,43,0,4,3
Clinician 44,junior,44,3,3,4
Clinician 45,senior,45,4,4,0
